NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV,latitude,longitude
123850,,SIEDLCE,PL,5211N,02216E,149.0,52.18333333333333,22.266666666666666
123990,,TERESPOL,PL,5204N,02337E,137.0,52.06666666666667,23.616666666666667
124000,EPZG,ZIELONA GORA      &,PL,5156N,01532E,192.0,51.93333333333333,15.533333333333333
124150,,LEGNICA BARTOSZOW,PL,5112N,01612E,124.0,51.2,16.2
124180,,LESZNO/STRZYZEWICE,PL,5150N,01632E,92.0,51.833333333333336,16.533333333333335
124240,EPWR,WROCLAW/STRACHOWICE,PL,5106N,01653E,121.0,51.1,16.883333333333333
124250,,WROCLAW/MALY GADOW,PL,5108N,01659E,116.0,51.13333333333333,16.983333333333334
124350,,KALISZ,PL,5144N,01805E,144.0,51.733333333333334,18.083333333333332
124550,,WIELUN,PL,5113N,01834E,201.0,51.21666666666667,18.566666666666666
124650,,LODZ,PL,5144N,01924E,188.0,51.733333333333334,19.4
124690,,SULEJOW,PL,5121N,01952E,189.0,51.35,19.866666666666667
124850,,RADOM,PL,5125N,02107E,185.0,51.416666666666664,21.116666666666667
124880,,KOZIENICE,PL,5134N,02133E,126.0,51.56666666666667,21.55
124900,,DEBLIN/IRENA,PL,5133N,02151E,124.0,51.55,21.85
124950,,LUBLIN RADAWIEC,PL,5113N,02224E,240.0,51.21666666666667,22.4
124970,,WLODAWA,PL,5133N,02332E,179.0,51.55,23.533333333333335
125000,,JELENIA GORA,PL,5054N,01548E,344.0,50.9,15.8
125100,,SNIEZKA MOUNTAIN,PL,5044N,01544E,1613.0,50.733333333333334,15.733333333333333
125200,,KLODZKO,PL,5026N,01637E,357.0,50.43333333333333,16.616666666666667
125300,,OPOLE,PL,5040N,01758E,178.0,50.666666666666664,17.966666666666665
125400,,RACIBORZ,PL,5003N,01812E,206.0,50.05,18.2
125500,,CZESTOCHOWA,PL,5049N,01906E,295.0,50.81666666666667,19.1
125550,,PYRZOWICE,PL,5029N,01905E,301.0,50.483333333333334,19.083333333333332
125600,EPKT,KATOWICE/PYRZOWICE,PL,5014N,01902E,284.0,50.233333333333334,19.033333333333335
125660,EPKK,KRAKOW/BALICE,PL,5005N,01948E,237.0,50.083333333333336,19.8
125700,,KIELCE,PL,5049N,02042E,261.0,50.81666666666667,20.7
125750,,TARNOW,PL,5002N,02059E,209.0,50.03333333333333,20.983333333333334
125800,EPRZ,RZESZOW/JASIONKA,PL,5006N,02203E,202.0,50.1,22.05
125850,,SANDOMIERZ,PL,5042N,02143E,218.0,50.7,21.716666666666665
125950,,ZAMOSC,PL,5042N,02315E,213.0,50.7,23.25
126000,,BIELSKO/BIALA,PL,4948N,01900E,399.0,49.8,19.0
126250,,ZAKOPANE,PL,4918N,01957E,860.0,49.3,19.95
126500,,KASPROWY WIERCH,PL,4914N,01959E,1989.0,49.233333333333334,19.983333333333334
126600,,NOWY SACZ,PL,4937N,02042E,295.0,49.61666666666667,20.7
126700,,BOGUS POLISH,PL,0000N,00000E,,0.0,0.0
126900,,LESKO,PL,4928N,02220E,422.0,49.46666666666667,22.333333333333332
126950,,PRZEMYSL,PL,4948N,02246E,280.0,49.8,22.766666666666666
127720,,MISKOLC,HU,4806N,02047E,233.0,48.1,20.783333333333335
128050,,SOPRON,HU,4741N,01636E,238.0,47.68333333333333,16.6
128120,LHSY,SZOMBATHELY,HU,4716N,01638E,221.0,47.266666666666666,16.633333333333333
128220,,GYOR,HU,4742N,01741E,116.0,47.7,17.683333333333334
128250,LHPA,PAPA,HU,4721N,01728E,141.0,47.35,17.466666666666665
128300,,VESZPREM,HU,4705N,01755E,303.0,47.083333333333336,17.916666666666668
128305,LHTL,TOKOL,HU,4721N,01859E,101.0,47.35,18.983333333333334
128310,,DOBOGOKO (MOUNT),HU,4742N,01853E,676.0,47.7,18.883333333333333
128380,,BUDAORS,HU,4727N,01858E,132.0,47.45,18.966666666666665
128390,LHBP,BUDAPEST/FERIHEGY,HU,4726N,01916E,185.0,47.43333333333333,19.266666666666666
128400,,BUDAPEST MET CENTER,HU,4731N,01902E,129.0,47.516666666666666,19.033333333333335
